,Collection,PatientID,PatientName,PatientSex,StudyInstanceUID,StudyDate,StudyDescription,PatientAge,SeriesCount,SeriesInstanceUID,Modality,SeriesDescription,SeriesNumber,ManufacturerModelName,SoftwareVersions,Visibility,ImageCount,ProtocolName,SeriesDate
35,CC-Radiomics-Phantom-3,CCR-3-CT18,CCR-3-CT18,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.310101458411495884778273201688,1999-07-27,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.377490991605445839856241049476,CT,Control,1.000000,LightSpeed16,LightSpeedverrel,1,74,8.1 RT SIMULATION PELVIS,1999-07-27
36,CC-Radiomics-Phantom-3,CCR-3-CT22,CCR-3-CT22,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.239730179540967456500637085160,1999-07-11,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.782225878021669384022988021319,RTSTRUCT,Chest,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
37,CC-Radiomics-Phantom-3,CCR-3-CT22,CCR-3-CT22,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.239730179540967456500637085160,1999-07-11,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.935143989887506365044049207378,RTSTRUCT,Head,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
38,CC-Radiomics-Phantom-3,CCR-3-CT22,CCR-3-CT22,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.239730179540967456500637085160,1999-07-11,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.235265825665798684719229687413,RTSTRUCT,Control,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
39,CC-Radiomics-Phantom-3,CCR-3-CT22,CCR-3-CT22,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.239730179540967456500637085160,1999-07-11,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.239209358104682537822173165446,CT,Head,1.000000,LightSpeed16,LightSpeedverrel,1,46,8.1 RT SIMULATION PELVIS,1999-07-11
40,CC-Radiomics-Phantom-3,CCR-3-CT22,CCR-3-CT22,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.239730179540967456500637085160,1999-07-11,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.325469158071186580685908903155,CT,Chest,1.000000,LightSpeed16,LightSpeedverrel,1,45,8.1 RT SIMULATION PELVIS,1999-07-11
41,CC-Radiomics-Phantom-3,CCR-3-CT22,CCR-3-CT22,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.239730179540967456500637085160,1999-07-11,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.538553794977621373094494082129,CT,Control,1.000000,LightSpeed16,LightSpeedverrel,1,89,8.1 RT SIMULATION PELVIS,1999-07-11
42,CC-Radiomics-Phantom-3,CCR-3-CT13,CCR-3-CT13,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.179025288241469196024025070573,1999-06-08,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.901155881730127782021755356411,RTSTRUCT,Head,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
43,CC-Radiomics-Phantom-3,CCR-3-CT13,CCR-3-CT13,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.179025288241469196024025070573,1999-06-08,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.191939410586279621712933963841,RTSTRUCT,Control,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
44,CC-Radiomics-Phantom-3,CCR-3-CT13,CCR-3-CT13,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.179025288241469196024025070573,1999-06-08,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.798077277703401503653753771765,RTSTRUCT,Chest,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
